# c1_x c1_y c1_z c2_x c2_y c2_z obs_x obs_y obs_z Bx By Bz cs
-600 0 0 600 0 0 -304 -208 0 -109.597 -340.695 -23.5204 1
-600 0 0 600 0 0 -304 -176 0 -105.236 -368.461 -21.836 1
-600 0 0 600 0 0 -304 -144 0 -94.9805 -395.676 -18.6865 1
-600 0 0 600 0 0 -304 -112 0 -82.4192 -420.499 -15.2885 1
-600 0 0 600 0 0 -304 -80 0 -62.942 -442.393 -11.145 1
-600 0 0 600 0 0 -304 -48 0 -40.615 -457.84 -6.84427 1
-600 0 0 600 0 0 -304 -16 0 -13.5383 -466.529 -2.28142 1
-600 0 0 600 0 0 -304 16 0 13.5383 -466.529 2.28142 1
-600 0 0 600 0 0 -304 48 0 40.615 -457.84 6.84427 1
-600 0 0 600 0 0 -304 80 0 62.942 -442.393 11.145 1
-600 0 0 600 0 0 -304 112 0 82.4192 -420.499 15.2885 1
-600 0 0 600 0 0 -304 144 0 94.9805 -395.676 18.6865 1
-600 0 0 600 0 0 -304 176 0 105.236 -368.461 21.836 1
-600 0 0 600 0 0 -304 208 0 109.597 -340.695 23.5204 1
-600 0 0 600 0 0 -304 240 0 113.114 -314.67 24.9955 1
-600 0 0 600 0 0 -304 272 0 112.343 -288.995 25.1678 1
-600 0 0 600 0 0 -304 304 0 111.268 -266.833 25.2444 1
-600 0 0 600 0 0 -304 336 0 108.066 -245.403 24.6513 1
-600 0 0 600 0 0 -304 368 0 104.568 -227.145 23.9663 1
-600 0 0 600 0 0 -304 400 0 100.18 -209.945 23.0057 1
-600 0 0 600 0 0 -272 -400 0 -85.8888 -213.52 -25.4037 1
-600 0 0 600 0 0 -272 -368 0 -88.7131 -230.18 -26.7231 1
-600 0 0 600 0 0 -272 -336 0 -90.4697 -247.787 -27.8144 1
-600 0 0 600 0 0 -272 -304 0 -91.8704 -268.155 -28.8297 1
-600 0 0 600 0 0 -272 -272 0 -91.2019 -289.16 -29.1497 1
-600 0 0 600 0 0 -272 -240 0 -90.2378 -313.081 -29.3704 1
-600 0 0 600 0 0 -272 -208 0 -85.8312 -337.266 -27.9838 1
-600 0 0 600 0 0 -272 -176 0 -80.855 -362.494 -26.2894 1
-600 0 0 600 0 0 -272 -144 0 -71.8922 -386.985 -22.4403 1
-600 0 0 600 0 0 -272 -112 0 -61.4106 -408.288 -18.3029 1
-600 0 0 600 0 0 -272 -80 0 -46.3722 -426.88 -13.3004 1
-600 0 0 600 0 0 -272 -48 0 -29.5786 -439.506 -8.13911 1
-600 0 0 600 0 0 -272 -16 0 -9.85954 -446.608 -2.71304 1
-600 0 0 600 0 0 -272 16 0 9.85954 -446.608 2.71304 1
-600 0 0 600 0 0 -272 48 0 29.5786 -439.506 8.13911 1
-600 0 0 600 0 0 -272 80 0 46.3722 -426.88 13.3004 1
-600 0 0 600 0 0 -272 112 0 61.4106 -408.288 18.3029 1
-600 0 0 600 0 0 -272 144 0 71.8922 -386.985 22.4403 1
-600 0 0 600 0 0 -272 176 0 80.855 -362.494 26.2894 1
-600 0 0 600 0 0 -272 208 0 85.8312 -337.266 27.9838 1
-600 0 0 600 0 0 -272 240 0 90.2378 -313.081 29.3704 1
-600 0 0 600 0 0 -272 272 0 91.2019 -289.16 29.1497 1
-600 0 0 600 0 0 -272 304 0 91.8704 -268.155 28.8297 1
-600 0 0 600 0 0 -272 336 0 90.4697 -247.787 27.8144 1
-600 0 0 600 0 0 -272 368 0 88.7131 -230.18 26.7231 1
-600 0 0 600 0 0 -272 400 0 85.8888 -213.52 25.4037 1
-600 0 0 600 0 0 -240 -400 0 -72.9558 -216.727 -27.8366 1
-600 0 0 600 0 0 -240 -368 0 -74.6926 -232.811 -29.5291 1
-600 0 0 600 0 0 -240 -336 0 -75.3238 -249.73 -31.0473 1
-600 0 0 600 0 0 -240 -304 0 -75.5864 -269.027 -32.5075 1
-600 0 0 600 0 0 -240 -272 0 -73.9551 -288.873 -33.2531 1
-600 0 0 600 0 0 -240 -240 0 -72.0532 -311.124 -33.8966 1
-600 0 0 600 0 0 -240 -208 0 -67.4904 -333.568 -32.6188 1
-600 0 0 600 0 0 -240 -176 0 -62.5833 -356.508 -30.9276 1
-600 0 0 600 0 0 -240 -144 0 -55.2656 -378.553 -26.3423 1
-600 0 0 600 0 0 -240 -112 0 -46.8739 -396.72 -21.4291 1
-600 0 0 600 0 0 -240 -80 0 -35.2604 -412.39 -15.5324 1
-600 0 0 600 0 0 -240 -48 0 -22.4015 -422.568 -9.47758 1
-600 0 0 600 0 0 -240 -16 0 -7.46718 -428.292 -3.15919 1
-600 0 0 600 0 0 -240 16 0 7.46718 -428.292 3.15919 1
-600 0 0 600 0 0 -240 48 0 22.4015 -422.568 9.47758 1
-600 0 0 600 0 0 -240 80 0 35.2604 -412.39 15.5324 1
-600 0 0 600 0 0 -240 112 0 46.8739 -396.72 21.4291 1
-600 0 0 600 0 0 -240 144 0 55.2656 -378.553 26.3423 1
-600 0 0 600 0 0 -240 176 0 62.5833 -356.508 30.9276 1
-600 0 0 600 0 0 -240 208 0 67.4904 -333.568 32.6188 1
-600 0 0 600 0 0 -240 240 0 72.0532 -311.124 33.8966 1
-600 0 0 600 0 0 -240 272 0 73.9551 -288.873 33.2531 1
-600 0 0 600 0 0 -240 304 0 75.5864 -269.027 32.5075 1
-600 0 0 600 0 0 -240 336 0 75.3238 -249.73 31.0473 1
-600 0 0 600 0 0 -240 368 0 74.6926 -232.811 29.5291 1
-600 0 0 600 0 0 -240 400 0 72.9558 -216.727 27.8366 1
-600 0 0 600 0 0 -208 -400 0 -60.2247 -217.898 -30.368 1
-600 0 0 600 0 0 -208 -368 0 -60.9366 -233.31 -32.5346 1
-600 0 0 600 0 0 -208 -336 0 -60.521 -249.472 -34.6634 1
-600 0 0 600 0 0 -208 -304 0 -59.7296 -267.815 -36.7796 1
-600 0 0 600 0 0 -208 -272 0 -57.2284 -286.661 -38.3167 1
-600 0 0 600 0 0 -208 -240 0 -54.483 -307.925 -39.7709 1
-600 0 0 600 0 0 -208 -208 0 -49.835 -329.41 -39.0801 1
-600 0 0 600 0 0 -208 -176 0 -45.0592 -351.791 -37.7386 1
-600 0 0 600 0 0 -208 -144 0 -39.3888 -373.109 -31.8421 1
-600 0 0 600 0 0 -208 -112 0 -33.0566 -389.823 -25.6311 1
-600 0 0 600 0 0 -208 -80 0 -24.7386 -404.131 -18.4764 1
-600 0 0 600 0 0 -208 -48 0 -15.6319 -413.146 -11.2038 1
-600 0 0 600 0 0 -208 -16 0 -5.21065 -418.216 -3.7346 1
-600 0 0 600 0 0 -208 16 0 5.21065 -418.216 3.7346 1
-600 0 0 600 0 0 -208 48 0 15.6319 -413.146 11.2038 1
-600 0 0 600 0 0 -208 80 0 24.7386 -404.131 18.4764 1
-600 0 0 600 0 0 -208 112 0 33.0566 -389.823 25.6311 1
-600 0 0 600 0 0 -208 144 0 39.3888 -373.109 31.8421 1
-600 0 0 600 0 0 -208 176 0 45.0592 -351.791 37.7386 1
-600 0 0 600 0 0 -208 208 0 49.835 -329.41 39.0801 1
-600 0 0 600 0 0 -208 240 0 54.483 -307.925 39.7709 1
-600 0 0 600 0 0 -208 272 0 57.2284 -286.661 38.3167 1
-600 0 0 600 0 0 -208 304 0 59.7296 -267.815 36.7796 1
-600 0 0 600 0 0 -208 336 0 60.521 -249.472 34.6634 1
-600 0 0 600 0 0 -208 368 0 60.9366 -233.31 32.5346 1
-600 0 0 600 0 0 -208 400 0 60.2247 -217.898 30.368 1
-600 0 0 600 0 0 -176 -400 0 -49.1638 -218.926 -32.8675 1
-600 0 0 600 0 0 -176 -368 0 -49.3163 -233.674 -35.5097 1
-600 0 0 600 0 0 -176 -336 0 -48.4171 -249.088 -38.2578 1
-600 0 0 600 0 0 -176 -304 0 -47.1672 -266.5 -41.0411 1
-600 0 0 600 0 0 -176 -272 0 -44.4096 -284.373 -43.4026 1
-600 0 0 600 0 0 -176 -240 0 -41.4365 -304.704 -45.7039 1
-600 0 0 600 0 0 -176 -208 0 -37.0333 -325.29 -45.6852 1
-600 0 0 600 0 0 -176 -176 0 -32.6381 -347.246 -44.7658 1
-600 0 0 600 0 0 -176 -144 0 -28.2985 -367.971 -37.5416 1
-600 0 0 600 0 0 -176 -112 0 -23.5572 -383.361 -30.0073 1
-600 0 0 600 0 0 -176 -80 0 -17.6109 -396.421 -21.5427 1
-600 0 0 600 0 0 -176 -48 0 -11.1156 -404.355 -13.0019 1
-600 0 0 600 0 0 -176 -16 0 -3.70521 -408.818 -4.33398 1
-600 0 0 600 0 0 -176 16 0 3.70521 -408.818 4.33398 1
-600 0 0 600 0 0 -176 48 0 11.1156 -404.355 13.0019 1
-600 0 0 600 0 0 -176 80 0 17.6109 -396.421 21.5427 1
-600 0 0 600 0 0 -176 112 0 23.5572 -383.361 30.0073 1
-600 0 0 600 0 0 -176 144 0 28.2985 -367.971 37.5416 1
-600 0 0 600 0 0 -176 208 0 37.0333 -325.29 45.6852 1
-600 0 0 600 0 0 -176 240 0 41.4365 -304.704 45.7039 1
-600 0 0 600 0 0 -176 272 0 44.4096 -284.373 43.4026 1
-600 0 0 600 0 0 -176 304 0 47.1672 -266.5 41.0411 1
-600 0 0 600 0 0 -176 336 0 48.4171 -249.088 38.2578 1
