# c1_x c1_y c1_z c2_x c2_y c2_z p1_x p1_y p1_z p2_x p2_y p2_z V cs
-600 0 0 600 0 0 80 -368 0 144 -368 0 25.8718 1
-600 0 0 600 0 0 112 -368 0 176 -368 0 28.4878 1
-600 0 0 600 0 0 144 -368 0 208 -368 0 31.0218 1
-600 0 0 600 0 0 176 -368 0 240 -368 0 33.6693 1
-600 0 0 600 0 0 208 -368 0 272 -368 0 36.0818 1
-600 0 0 600 0 0 240 -368 0 304 -368 0 37.7527 1
-600 0 0 600 0 0 272 -368 0 336 -368 0 39.2576 1
-600 0 0 600 0 0 304 -368 0 368 -368 0 39.6532 1
-600 0 0 600 0 0 336 -368 0 400 -368 0 39.6237 1
-600 0 0 600 0 0 -400 -336 0 -368 -336 0 23.0433 1
-600 0 0 600 0 0 -368 -336 0 -336 -336 0 23.3509 1
-600 0 0 600 0 0 -336 -336 0 -304 -336 0 22.6786 1
-600 0 0 600 0 0 -304 -336 0 -272 -336 0 22.5234 1
-600 0 0 600 0 0 -272 -336 0 -240 -336 0 20.5224 1
-600 0 0 600 0 0 -240 -336 0 -208 -336 0 20.1949 1
-600 0 0 600 0 0 -208 -336 0 -176 -336 0 17.2836 1
-600 0 0 600 0 0 -176 -336 0 -144 -336 0 16.6448 1
-600 0 0 600 0 0 -144 -336 0 -112 -336 0 13.8765 1
-600 0 0 600 0 0 -112 -336 0 -80 -336 0 13.1469 1
-600 0 0 600 0 0 -80 -336 0 -48 -336 0 11.5418 1
-600 0 0 600 0 0 -48 -336 0 -16 -336 0 11.1921 1
-600 0 0 600 0 0 -16 -336 0 16 -336 0 10.7424 1
-600 0 0 600 0 0 16 -336 0 48 -336 0 11.1921 1
-600 0 0 600 0 0 48 -336 0 80 -336 0 11.5418 1
-600 0 0 600 0 0 80 -336 0 112 -336 0 13.1469 1
-600 0 0 600 0 0 112 -336 0 144 -336 0 13.8765 1
-600 0 0 600 0 0 144 -336 0 176 -336 0 16.6448 1
-600 0 0 600 0 0 176 -336 0 208 -336 0 17.2836 1
-600 0 0 600 0 0 208 -336 0 240 -336 0 20.1949 1
-600 0 0 600 0 0 240 -336 0 272 -336 0 20.5224 1
-600 0 0 600 0 0 272 -336 0 304 -336 0 22.5234 1
-600 0 0 600 0 0 304 -336 0 336 -336 0 22.6786 1
-600 0 0 600 0 0 336 -336 0 368 -336 0 23.3509 1
-600 0 0 600 0 0 368 -336 0 400 -336 0 23.0433 1
-600 0 0 600 0 0 -400 -336 0 -336 -336 0 46.3941 1
-600 0 0 600 0 0 -368 -336 0 -304 -336 0 46.0294 1
-600 0 0 600 0 0 -336 -336 0 -272 -336 0 45.202 1
-600 0 0 600 0 0 -304 -336 0 -240 -336 0 43.0458 1
-600 0 0 600 0 0 -272 -336 0 -208 -336 0 40.7172 1
-600 0 0 600 0 0 -240 -336 0 -176 -336 0 37.4785 1
-600 0 0 600 0 0 -208 -336 0 -144 -336 0 33.9284 1
-600 0 0 600 0 0 -176 -336 0 -112 -336 0 30.5212 1
-600 0 0 600 0 0 -144 -336 0 -80 -336 0 27.0233 1
-600 0 0 600 0 0 -112 -336 0 -48 -336 0 24.6887 1
-600 0 0 600 0 0 -80 -336 0 -16 -336 0 22.7338 1
-600 0 0 600 0 0 -48 -336 0 16 -336 0 21.9345 1
-600 0 0 600 0 0 -16 -336 0 48 -336 0 21.9345 1
-600 0 0 600 0 0 16 -336 0 80 -336 0 22.7338 1
-600 0 0 600 0 0 48 -336 0 112 -336 0 24.6887 1
-600 0 0 600 0 0 80 -336 0 144 -336 0 27.0233 1
